사망원인별(104항목),성별,연령(5세)별,2017,2018,2019,2020,2021
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,40 - 49세,37,56,54,58,77
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,50 - 59세,123,138,141,134,206
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,60 - 69세,273,270,255,324,595
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,70 - 79세,929,981,892,1083,1401
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,80세 이상,2756,3061,3214,3883,5333
신생물 (C00-D48),계,계,80320,80747,82844,83776,84363
신생물 (C00-D48),계,0 - 9세,99,97,82,65,64
신생물 (C00-D48),계,10 - 19세,133,129,115,113,111
신생물 (C00-D48),계,20 - 29세,282,276,294,283,244
신생물 (C00-D48),계,30 - 39세,1038,999,940,930,785
신생물 (C00-D48),계,40 - 49세,3726,3521,3485,3319,3162
신생물 (C00-D48),계,50 - 59세,10652,10245,10317,9739,9092
신생물 (C00-D48),계,60 - 69세,16826,16603,17272,17687,18679
신생물 (C00-D48),계,70 - 79세,24867,24841,24859,24926,24351
신생물 (C00-D48),계,80세 이상,22697,24035,25477,26709,27872
신생물 (C00-D48),남자,계,49629,49797,51158,51686,51827
신생물 (C00-D48),남자,0 - 9세,52,46,53,41,30
신생물 (C00-D48),남자,10 - 19세,80,77,84,78,71
신생물 (C00-D48),남자,20 - 29세,158,139,169,156,148
신생물 (C00-D48),남자,30 - 39세,478,446,435,395,356
신생물 (C00-D48),남자,40 - 49세,1939,1815,1776,1597,1552
신생물 (C00-D48),남자,50 - 59세,6959,6494,6502,5973,5423
신생물 (C00-D48),남자,60 - 69세,11836,11617,12016,12283,12847
신생물 (C00-D48),남자,70 - 79세,16374,16620,16624,16832,16470
신생물 (C00-D48),남자,80세 이상,11753,12542,13497,14329,14929
신생물 (C00-D48),여자,계,30691,30950,31686,32090,32536
신생물 (C00-D48),여자,0 - 9세,47,51,29,24,34
신생물 (C00-D48),여자,10 - 19세,53,52,31,35,40
신생물 (C00-D48),여자,20 - 29세,124,137,125,127,96
신생물 (C00-D48),여자,30 - 39세,560,553,505,535,429
신생물 (C00-D48),여자,40 - 49세,1787,1706,1709,1722,1610
신생물 (C00-D48),여자,50 - 59세,3693,3751,3815,3766,3669
신생물 (C00-D48),여자,60 - 69세,4990,4986,5256,5404,5832
신생물 (C00-D48),여자,70 - 79세,8493,8221,8235,8094,7881
신생물 (C00-D48),여자,80세 이상,10944,11493,11980,12380,12943
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,계,777,873,833,880,848
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,0 - 9세,16,12,13,19,7
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,10 - 19세,14,11,13,10,5
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,20 - 29세,9,12,12,12,9
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,30 - 39세,12,19,9,17,8
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,40 - 49세,30,25,21,31,32
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,50 - 59세,60,52,62,51,51
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,60 - 69세,91,96,92,108,111
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,70 - 79세,165,199,183,190,155
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),계,80세 이상,380,446,428,442,470
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,계,308,376,357,378,362
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,0 - 9세,8,6,7,10,4
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,10 - 19세,6,5,7,6,3
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,20 - 29세,2,8,8,5,2
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,30 - 39세,7,7,6,7,5
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,40 - 49세,18,18,14,16,14
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,50 - 59세,40,27,34,28,31
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,60 - 69세,55,55,55,70,61
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,70 - 79세,70,106,93,102,84
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),남자,80세 이상,102,144,133,134,158
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,계,469,497,476,502,486
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,0 - 9세,8,6,6,9,3
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,10 - 19세,8,6,6,4,2
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,20 - 29세,7,4,4,7,7
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,30 - 39세,5,12,3,10,3
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,40 - 49세,12,7,7,15,18
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,50 - 59세,20,25,28,23,20
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,60 - 69세,36,41,37,38,50
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,70 - 79세,95,93,90,88,71
혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명),여자,80세 이상,278,302,295,308,312
"내분비, 영양 및 대사 질환 (E00-E88)",계,계,10532,10325,9502,10052,10524
"내분비, 영양 및 대사 질환 (E00-E88)",계,0 - 9세,19,13,13,10,15
"내분비, 영양 및 대사 질환 (E00-E88)",계,10 - 19세,10,11,6,10,8
"내분비, 영양 및 대사 질환 (E00-E88)",계,20 - 29세,34,28,34,30,26
"내분비, 영양 및 대사 질환 (E00-E88)",계,30 - 39세,70,69,86,70,83
"내분비, 영양 및 대사 질환 (E00-E88)",계,40 - 49세,317,251,236,280,267
"내분비, 영양 및 대사 질환 (E00-E88)",계,50 - 59세,789,826,776,795,773
"내분비, 영양 및 대사 질환 (E00-E88)",계,60 - 69세,1339,1475,1292,1313,1546
"내분비, 영양 및 대사 질환 (E00-E88)",계,70 - 79세,3092,2873,2524,2577,2515
"내분비, 영양 및 대사 질환 (E00-E88)",계,80세 이상,4861,4776,4534,4966,5291
"내분비, 영양 및 대사 질환 (E00-E88)",남자,계,5168,5165,4817,5105,5473
"내분비, 영양 및 대사 질환 (E00-E88)",남자,0 - 9세,10,8,9,5,8
"내분비, 영양 및 대사 질환 (E00-E88)",남자,10 - 19세,7,4,2,5,6
"내분비, 영양 및 대사 질환 (E00-E88)",남자,20 - 29세,16,14,22,18,18
"내분비, 영양 및 대사 질환 (E00-E88)",남자,30 - 39세,45,37,61,45,56
"내분비, 영양 및 대사 질환 (E00-E88)",남자,40 - 49세,235,185,176,208,199
"내분비, 영양 및 대사 질환 (E00-E88)",남자,50 - 59세,630,650,627,635,613
"내분비, 영양 및 대사 질환 (E00-E88)",남자,60 - 69세,963,1055,930,940,1170
"내분비, 영양 및 대사 질환 (E00-E88)",남자,70 - 79세,1668,1616,1427,1499,1480
"내분비, 영양 및 대사 질환 (E00-E88)",남자,80세 이상,1594,1593,1563,1750,1923
"내분비, 영양 및 대사 질환 (E00-E88)",여자,계,5364,5160,4685,4947,5051
"내분비, 영양 및 대사 질환 (E00-E88)",여자,0 - 9세,9,5,4,5,7
"내분비, 영양 및 대사 질환 (E00-E88)",여자,10 - 19세,3,7,4,5,2
"내분비, 영양 및 대사 질환 (E00-E88)",여자,20 - 29세,18,14,12,12,8
"내분비, 영양 및 대사 질환 (E00-E88)",여자,30 - 39세,25,32,25,25,27
"내분비, 영양 및 대사 질환 (E00-E88)",여자,40 - 49세,82,66,60,72,68
"내분비, 영양 및 대사 질환 (E00-E88)",여자,50 - 59세,159,176,149,160,160
"내분비, 영양 및 대사 질환 (E00-E88)",여자,60 - 69세,376,420,362,373,376
"내분비, 영양 및 대사 질환 (E00-E88)",여자,70 - 79세,1424,1257,1097,1078,1035
"내분비, 영양 및 대사 질환 (E00-E88)",여자,80세 이상,3267,3183,2971,3216,3368
정신 및 행동장애 (F01-F99),계,계,5374,4621,4672,4348,3501
정신 및 행동장애 (F01-F99),계,0 - 9세,1,0,1,0,1
정신 및 행동장애 (F01-F99),계,10 - 19세,2,0,1,3,0
정신 및 행동장애 (F01-F99),계,20 - 29세,10,6,5,7,12
정신 및 행동장애 (F01-F99),계,30 - 39세,43,40,48,52,37
정신 및 행동장애 (F01-F99),계,40 - 49세,224,196,178,187,180
정신 및 행동장애 (F01-F99),계,50 - 59세,444,413,393,456,398
정신 및 행동장애 (F01-F99),계,60 - 69세,369,394,393,459,418
정신 및 행동장애 (F01-F99),계,70 - 79세,762,646,655,537,501
정신 및 행동장애 (F01-F99),계,80세 이상,3519,2925,2997,2646,1953
정신 및 행동장애 (F01-F99),남자,계,2286,2111,2095,2124,1832
정신 및 행동장애 (F01-F99),남자,0 - 9세,0,0,0,0,1
정신 및 행동장애 (F01-F99),남자,10 - 19세,0,0,0,1,0
정신 및 행동장애 (F01-F99),남자,20 - 29세,5,3,2,4,5
정신 및 행동장애 (F01-F99),남자,30 - 39세,26,27,35,33,21
정신 및 행동장애 (F01-F99),남자,40 - 49세,190,160,145,157,148
정신 및 행동장애 (F01-F99),남자,50 - 59세,397,369,357,401,350
정신 및 행동장애 (F01-F99),남자,60 - 69세,310,338,336,398,362
정신 및 행동장애 (F01-F99),남자,70 - 79세,454,369,405,348,329
정신 및 행동장애 (F01-F99),남자,80세 이상,904,844,814,781,616
정신 및 행동장애 (F01-F99),여자,계,3088,2510,2577,2224,1669
정신 및 행동장애 (F01-F99),여자,0 - 9세,1,0,1,0,0
정신 및 행동장애 (F01-F99),여자,10 - 19세,2,0,1,2,0
정신 및 행동장애 (F01-F99),여자,20 - 29세,5,3,3,3,7
정신 및 행동장애 (F01-F99),여자,30 - 39세,17,13,13,19,16
정신 및 행동장애 (F01-F99),여자,40 - 49세,34,36,33,30,32
정신 및 행동장애 (F01-F99),여자,50 - 59세,47,44,36,55,48
정신 및 행동장애 (F01-F99),여자,60 - 69세,59,56,57,61,56
정신 및 행동장애 (F01-F99),여자,70 - 79세,308,277,250,189,172
정신 및 행동장애 (F01-F99),여자,80세 이상,2615,2081,2183,1865,1337
신경계통의 질환 (G00-G98),계,계,11197,12818,12903,13790,14831
신경계통의 질환 (G00-G98),계,0 - 9세,88,79,63,43,47
신경계통의 질환 (G00-G98),계,10 - 19세,69,84,64,37,64
신경계통의 질환 (G00-G98),계,20 - 29세,97,90,82,77,72
신경계통의 질환 (G00-G98),계,30 - 39세,82,94,89,86,91
신경계통의 질환 (G00-G98),계,40 - 49세,207,183,200,190,185
신경계통의 질환 (G00-G98),계,50 - 59세,460,509,483,465,514
신경계통의 질환 (G00-G98),계,60 - 69세,887,1043,1002,1017,1246
신경계통의 질환 (G00-G98),계,70 - 79세,2485,2712,2515,2665,2830
신경계통의 질환 (G00-G98),계,80세 이상,6821,8023,8400,9209,9781
신경계통의 질환 (G00-G98),남자,계,4531,5129,5040,5452,5983
신경계통의 질환 (G00-G98),남자,0 - 9세,45,47,34,29,32
신경계통의 질환 (G00-G98),남자,10 - 19세,45,57,41,23,46
신경계통의 질환 (G00-G98),남자,20 - 29세,69,62,52,55,53
신경계통의 질환 (G00-G98),남자,30 - 39세,49,57,49,53,57
신경계통의 질환 (G00-G98),남자,40 - 49세,148,119,138,116,130
신경계통의 질환 (G00-G98),남자,50 - 59세,323,341,330,306,341
신경계통의 질환 (G00-G98),남자,60 - 69세,571,690,630,662,800
신경계통의 질환 (G00-G98),남자,70 - 79세,1310,1393,1359,1451,1572
신경계통의 질환 (G00-G98),남자,80세 이상,1971,2363,2406,2756,2952
신경계통의 질환 (G00-G98),여자,계,6666,7689,7863,8338,8848
신경계통의 질환 (G00-G98),여자,0 - 9세,43,32,29,14,15
신경계통의 질환 (G00-G98),여자,10 - 19세,24,27,23,14,18
신경계통의 질환 (G00-G98),여자,20 - 29세,28,28,30,22,19
신경계통의 질환 (G00-G98),여자,30 - 39세,33,37,40,33,34
신경계통의 질환 (G00-G98),여자,40 - 49세,59,64,62,74,55
신경계통의 질환 (G00-G98),여자,50 - 59세,137,168,153,159,173
신경계통의 질환 (G00-G98),여자,60 - 69세,316,353,372,355,446
신경계통의 질환 (G00-G98),여자,70 - 79세,1175,1319,1156,1214,1258
신경계통의 질환 (G00-G98),여자,80세 이상,4850,5660,5994,6453,6829
눈 및 눈부속기의 질환 (H00-H57),계,계,0,5,1,1,2
눈 및 눈부속기의 질환 (H00-H57),계,0 - 9세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),계,10 - 19세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),계,20 - 29세,0,0,0,0,1
눈 및 눈부속기의 질환 (H00-H57),계,30 - 39세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),계,40 - 49세,0,1,0,0,0
눈 및 눈부속기의 질환 (H00-H57),계,50 - 59세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),계,60 - 69세,0,1,0,0,1
눈 및 눈부속기의 질환 (H00-H57),계,70 - 79세,0,1,1,1,0
눈 및 눈부속기의 질환 (H00-H57),계,80세 이상,0,2,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,계,0,1,1,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,0 - 9세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,10 - 19세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,20 - 29세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,30 - 39세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,40 - 49세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,50 - 59세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,60 - 69세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,70 - 79세,0,1,1,0,0
눈 및 눈부속기의 질환 (H00-H57),남자,80세 이상,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),여자,계,0,4,0,1,2
눈 및 눈부속기의 질환 (H00-H57),여자,0 - 9세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),여자,10 - 19세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),여자,20 - 29세,0,0,0,0,1
눈 및 눈부속기의 질환 (H00-H57),여자,30 - 39세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),여자,40 - 49세,0,1,0,0,0
눈 및 눈부속기의 질환 (H00-H57),여자,50 - 59세,0,0,0,0,0
눈 및 눈부속기의 질환 (H00-H57),여자,60 - 69세,0,1,0,0,1
눈 및 눈부속기의 질환 (H00-H57),여자,70 - 79세,0,0,0,1,0
눈 및 눈부속기의 질환 (H00-H57),여자,80세 이상,0,2,0,0,0
귀 및 유돌의 질환 (H60-H93),계,계,6,9,6,5,6
귀 및 유돌의 질환 (H60-H93),계,0 - 9세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),계,10 - 19세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),계,20 - 29세,0,0,0,0,1
귀 및 유돌의 질환 (H60-H93),계,30 - 39세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),계,40 - 49세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),계,50 - 59세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),계,60 - 69세,0,3,0,1,0
귀 및 유돌의 질환 (H60-H93),계,70 - 79세,1,3,2,0,1
귀 및 유돌의 질환 (H60-H93),계,80세 이상,5,3,4,4,4
귀 및 유돌의 질환 (H60-H93),남자,계,2,5,3,4,4
귀 및 유돌의 질환 (H60-H93),남자,0 - 9세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),남자,10 - 19세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),남자,20 - 29세,0,0,0,0,1
귀 및 유돌의 질환 (H60-H93),남자,30 - 39세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),남자,40 - 49세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),남자,50 - 59세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),남자,60 - 69세,0,2,0,1,0
귀 및 유돌의 질환 (H60-H93),남자,70 - 79세,0,3,2,0,1
귀 및 유돌의 질환 (H60-H93),남자,80세 이상,2,0,1,3,2
귀 및 유돌의 질환 (H60-H93),여자,계,4,4,3,1,2
귀 및 유돌의 질환 (H60-H93),여자,0 - 9세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,10 - 19세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,20 - 29세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,30 - 39세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,40 - 49세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,50 - 59세,0,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,60 - 69세,0,1,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,70 - 79세,1,0,0,0,0
귀 및 유돌의 질환 (H60-H93),여자,80세 이상,3,3,3,1,2
순환계통 질환 (I00-I99),계,계,61266,62946,60252,62196,62370
순환계통 질환 (I00-I99),계,0 - 9세,65,44,43,28,31
순환계통 질환 (I00-I99),계,10 - 19세,59,40,49,41,43
순환계통 질환 (I00-I99),계,20 - 29세,155,148,137,144,126
순환계통 질환 (I00-I99),계,30 - 39세,532,523,502,486,475
순환계통 질환 (I00-I99),계,40 - 49세,1799,1754,1633,1630,1587
순환계통 질환 (I00-I99),계,50 - 59세,4257,4212,4023,4007,3727
순환계통 질환 (I00-I99),계,60 - 69세,6321,6505,6398,6652,6901
순환계통 질환 (I00-I99),계,70 - 79세,15080,14902,13717,13297,12868
순환계통 질환 (I00-I99),계,80세 이상,32990,34810,33742,35905,36605
순환계통 질환 (I00-I99),남자,계,28674,29342,28672,29568,29726
순환계통 질환 (I00-I99),남자,0 - 9세,31,27,24,13,19
순환계통 질환 (I00-I99),남자,10 - 19세,32,19,30,28,20
순환계통 질환 (I00-I99),남자,20 - 29세,120,99,98,102,92
순환계통 질환 (I00-I99),남자,30 - 39세,377,394,373,358,338
순환계통 질환 (I00-I99),남자,40 - 49세,1366,1337,1243,1248,1205
순환계통 질환 (I00-I99),남자,50 - 59세,3333,3283,3166,3116,2913
순환계통 질환 (I00-I99),남자,60 - 69세,4518,4772,4666,4842,5148
순환계통 질환 (I00-I99),남자,70 - 79세,8397,8352,7926,7782,7457
순환계통 질환 (I00-I99),남자,80세 이상,10497,11057,11143,12077,12533
순환계통 질환 (I00-I99),여자,계,32592,33604,31580,32628,32644
순환계통 질환 (I00-I99),여자,0 - 9세,34,17,19,15,12
순환계통 질환 (I00-I99),여자,10 - 19세,27,21,19,13,23
순환계통 질환 (I00-I99),여자,20 - 29세,35,49,39,42,34
순환계통 질환 (I00-I99),여자,30 - 39세,155,129,129,128,137
순환계통 질환 (I00-I99),여자,40 - 49세,433,417,390,382,382
순환계통 질환 (I00-I99),여자,50 - 59세,924,929,857,891,814
순환계통 질환 (I00-I99),여자,60 - 69세,1803,1733,1732,1810,1753
순환계통 질환 (I00-I99),여자,70 - 79세,6683,6550,5791,5515,5411
순환계통 질환 (I00-I99),여자,80세 이상,22493,23753,22599,23828,24072
"호흡계통의 질환 (J00-J98,U04)",계,계,32644,37763,36655,36368,36831
"호흡계통의 질환 (J00-J98,U04)",계,0 - 9세,25,19,21,17,14
"호흡계통의 질환 (J00-J98,U04)",계,10 - 19세,16,17,19,15,6
"호흡계통의 질환 (J00-J98,U04)",계,20 - 29세,33,45,33,34,20
"호흡계통의 질환 (J00-J98,U04)",계,30 - 39세,80,70,70,73,59
"호흡계통의 질환 (J00-J98,U04)",계,40 - 49세,245,271,251,233,224
"호흡계통의 질환 (J00-J98,U04)",계,50 - 59세,837,1037,890,876,840
"호흡계통의 질환 (J00-J98,U04)",계,60 - 69세,2337,2637,2566,2613,2798
"호흡계통의 질환 (J00-J98,U04)",계,70 - 79세,8015,8850,8338,8214,7998
"호흡계통의 질환 (J00-J98,U04)",계,80세 이상,21051,24812,24460,24286,24867
"호흡계통의 질환 (J00-J98,U04)",남자,계,18129,20777,20513,20671,21293
"호흡계통의 질환 (J00-J98,U04)",남자,0 - 9세,12,7,15,9,11
"호흡계통의 질환 (J00-J98,U04)",남자,10 - 19세,7,10,13,7,2
"호흡계통의 질환 (J00-J98,U04)",남자,20 - 29세,21,32,20,23,14
"호흡계통의 질환 (J00-J98,U04)",남자,30 - 39세,52,46,45,41,40
"호흡계통의 질환 (J00-J98,U04)",남자,40 - 49세,171,192,172,164,156
"호흡계통의 질환 (J00-J98,U04)",남자,50 - 59세,657,810,687,683,634
"호흡계통의 질환 (J00-J98,U04)",남자,60 - 69세,1797,1997,2005,2052,2184
"호흡계통의 질환 (J00-J98,U04)",남자,70 - 79세,5587,6107,5853,5830,5674
"호흡계통의 질환 (J00-J98,U04)",남자,80세 이상,9824,11574,11700,11860,12577
"호흡계통의 질환 (J00-J98,U04)",여자,계,14515,16986,16142,15697,15538
"호흡계통의 질환 (J00-J98,U04)",여자,0 - 9세,13,12,6,8,3
"호흡계통의 질환 (J00-J98,U04)",여자,10 - 19세,9,7,6,8,4
"호흡계통의 질환 (J00-J98,U04)",여자,20 - 29세,12,13,13,11,6
"호흡계통의 질환 (J00-J98,U04)",여자,30 - 39세,28,24,25,32,19
"호흡계통의 질환 (J00-J98,U04)",여자,40 - 49세,74,79,79,69,68
"호흡계통의 질환 (J00-J98,U04)",여자,50 - 59세,180,227,203,193,206
"호흡계통의 질환 (J00-J98,U04)",여자,60 - 69세,540,640,561,561,614
"호흡계통의 질환 (J00-J98,U04)",여자,70 - 79세,2428,2743,2485,2384,2324
"호흡계통의 질환 (J00-J98,U04)",여자,80세 이상,11227,13238,12760,12426,12290
소화계통의 질환 (K00-K92),계,계,12132,12401,11963,12870,13144
소화계통의 질환 (K00-K92),계,0 - 9세,4,11,5,14,11
소화계통의 질환 (K00-K92),계,10 - 19세,6,6,5,6,5
